1	利用Python软件绘制原煤可选性曲线的研究	吴翠平李齐轩王忠仟黄引平王陈自力杜鹏飞	中国矿业大学(北京)化学与环境工程学院	2023-04-07 13:50	选煤技术	期刊	可选性曲线绘制; HR可选性曲线; Python软件; 第三方库; 煤炭重选效果预测	可选性曲线在煤炭分选效果预测、运营管理、结果评价等各阶段都被重用,其准确高效绘制非常必要。为适应当前选煤智能化发展趋势,基于常用的智能算法平台,提出了一种利用Python软件绘制原煤可选性曲线的方法,借用国标煤炭浮沉试验数据,并结合NumPy、Scipy、Matplotlib、Pandas等第三方库,进行选煤生产中常用的HR可选性曲线的绘制。研究结果表明,利用Python软件可实现HR可选性曲线的自动绘制,且绘制结果满足选煤生产需求。利用Python软件绘制煤炭可选性曲线有助于实现煤炭重选效果预测优化决策与选煤智能化系统的无缝衔接。	https://kns.cnki.net/kcms2/article/abstract?v=3uoqIhG8C45S0n9fL2suRadTyEVl2pW9UrhTDCdPD67ENFgDuGvIv38_EKbyhUDz81bO0X5Du8biRfn_KmcSSWLqTMNvMndJ&uniplatform=NZKPT
2	基于百度AI Studio平台+腾讯课堂的“Python程序设计”课程线上教学	王书芹郭小荟	江苏师范大学智慧教育学院(计算机科学与技术学院)	2023-03-30 15:14	江苏师范大学学报(自然科学版)	期刊	百度AI Studio平台; 腾讯课堂; “Python程序设计”课程; 线上教学	为提升“Python程序设计”课程的线上教学质量，提出以百度AI Studio平台为载体、腾讯课堂为直播软件的线上教学模式.介绍“Python程序设计”课程的教学资源建设及如何实施课前预习、课堂授课和课后复习等环节.问卷调查和课程考核评价结果显示，基于百度AI Studio平台+腾讯课堂的线上教学模式取得了较好的效果.	https://kns.cnki.net/kcms2/article/abstract?v=3uoqIhG8C44YLTlOAiTRKu87-SJxoEJu6LL9TJzd50myZEg6fDCBOP88xFGgeASn-kKxTEd_P695NJ-QLMZiFWr6cIiGmgJV&uniplatform=NZKPT
3	PyRERT：面向放射治疗研究的Python环境	骆科林1,2刘湘乡1,2胡金有1,2谢朝1,2邹炼1,2	1. 四川省人民医院肿瘤中心2. 四川省人民医院医学物理实验室	2023-03-30	中国医疗器械杂志	期刊	放射治疗; 研究环境; 科研编程	目的 创建一个提升科研编程效率的面向放射治疗领域研究的Python环境。方法 选择开源的Enthought Tool Suite (ETS)作为Py RERT的核心外部依赖库，并采用Python面向对象编程模式分模块、分层次来开发Py RERT。结果 Py RERT V1.0版本为DICOM RT文件处理、水箱扫描数据的批量处理、数字模体创建、三维医学影像体视化、虚拟放疗设备驱动以及胶片扫描图像分析等方面的科研编程提供了良好的基础环境。结论 Py RERT作为实验室的一个公共平台，它提供的可复用的基础类和功能模块可以极大地提升全新科研任务相关编程的效率。	https://kns.cnki.net/kcms2/article/abstract?v=3uoqIhG8C44YLTlOAiTRKu87-SJxoEJutOehf2D0XouCH-lhM6pGzwvoP7a5cP5AJpptXqBzAs1NKfdEjeMDKQQyjt9HUPoH&uniplatform=NZKPT
4	基于Python的拉勾网网络爬虫设计与实现	冯晓磊	武汉传媒学院	2023-03-25	现代信息科技	期刊	Python; 网络爬虫; 数据解析	随着科学技术的发展，网络资源对人们的生活产生巨大的影响，为了进一步简化查找和精准定位网络资源，网络爬虫技术日渐兴起。由于Python语言的强兼容性，基于Python的网络爬虫技术成为了一种主流爬虫技术。针对学生求职的需求，文章采用基于Python的网络爬虫技术，设计拉勾网的岗位信息爬取程序，实现了对岗位信息的保存，为后续的查看使用提供便利。	https://kns.cnki.net/kcms2/article/abstract?v=3uoqIhG8C44YLTlOAiTRKu87-SJxoEJu6LL9TJzd50l8yRr-dwAdi628sAV9qB-7FGN63P8-VvteCIPJ56cIIdyoT2OmD7ht&uniplatform=NZKPT
5	基于Python的风向数据可视化系统设计	王驰1李博1袁甲坤1杨海涛2安学武1	1. 内蒙古自治区大气探测技术保障中心2. 二连浩特市气象局	2023-03-15	气象水文海洋仪器	期刊	风向数据; Python; 可视化; CIMISS	文章设计了一种基于Python的自动气象站风向数据可视化系统。系统主要利用Python优秀的数据可视化能力，首先从全国综合气象信息共享平台(CIMISS)调用被检测气象站的风向数据，然后将风向数据进行数据统计并制作成极散点图、风向统计图和风向数据日分布图等多种可视化图像，辅助气象台站人员判断风向传感器的工作状态，深入分析风向数据并进一步为风向传感器维修维护提供参考。	https://kns.cnki.net/kcms2/article/abstract?v=3uoqIhG8C44YLTlOAiTRKu87-SJxoEJu6LL9TJzd50mjttLDxz3KGPUVLE7NQHwzinmYfGv5i5UJ5s6ACVp0zVFFWeNZMpml&uniplatform=NZKPT
6	基于Python的车辆曲线通过转角计算	杭惠峰刘永强黄豪帅纲要匡希超	中车株洲电力机车有限公司产品研发中心	2023-03-15	技术与市场	期刊	曲线通过; 自动计算; Python	目前车辆过曲线转角计算主要依靠设计师通过CAD绘图进行静态分析，该方式存在效率低、精度差以及带抗折弯系统铰接车辆分析难度大等问题。针对上述缺陷，使用开源语言Python进行程序开发，实现车辆过曲线转角的自动计算、CAD图纸自动输出和运动过程可视化。	https://kns.cnki.net/kcms2/article/abstract?v=3uoqIhG8C44YLTlOAiTRKu87-SJxoEJu6LL9TJzd50mqNwUqGPhCFg0MVC1xTLjGhxiOcea9uzdxy8-tRcH4YVPoMYxo5hbU&uniplatform=NZKPT
7	基于Python爬虫技术的高校网络舆情数据分析研究——以“安徽审计职业学院百度贴吧”为例	丁然	安徽审计职业学院	2023-03-10	现代信息科技	期刊	网络爬虫; Python; 舆情	高校论坛是学生发表意见和相互交流的一个网络平台，也是高校校园舆情的一个重要信息源头。高校百度贴吧是以在校生为主导群体的在线交流平台，贴吧内信息在一定程度上反映了学生的思想动态和舆论导向，文章以“安徽审计职业学院百度贴吧”为例，分析Python网络爬虫技术的实现原理，爬取贴吧内的文本数据，利用分词、词频统计、词云图制作等技术进行数据分析，提出舆情结论和研究展望，为校园相关部门舆情引导提供帮助和新的思路。	https://kns.cnki.net/kcms2/article/abstract?v=3uoqIhG8C44YLTlOAiTRKu87-SJxoEJu6LL9TJzd50l8yRr-dwAdi5uWizMt_OM4Lu4Gk1iBWGXvUs0Mnq9-5H_hNLO55Tfm&uniplatform=NZKPT
8	OBE-TOPCARES理念下Python语言教学改革	刘兆宏	成都东软学院高等职业技术学院	2023-02-24	福建电脑	期刊	产出导向教育; 程序设计; 混合式教学	Python语言产生于信息时代，具有简洁、强大、高效等优势，现已成为计算机相关专业的第一门编程入门课程。但目前Python语言课程的教学方法及体系难以适应数据智能的新学科需求。为了提高教学质量，克服教学中存在的问题与弊湍，本文基于OBE-TOPCARES理念，以学生学习产出为导向，从确定课程学习目标、创新混合式教学模式和科学评价学生学习效果等三方面开展了Python语言程序设计教学改革实验。实践结果表明，教学改革受到了学生的广泛赞誉，学生的职业素质与工程实践能力均得以整体提高。	https://kns.cnki.net/kcms2/article/abstract?v=3uoqIhG8C44YLTlOAiTRKibYlV5Vjs7ioT0BO4yQ4m_mOgeS2ml3UPw4kBSMd9PHZ5JZRi24IOSEWNBySQspOPHPaDpzbNNt&uniplatform=NZKPT
9	基于Python的矢量数据批处理方法研究	史秋晶李羽荟	江苏省地质勘查技术院	2023-02-21	测绘与空间地理信息	期刊	矢量数据; 数据处理; 批处理; Python	生产实践中，海量数据的合并、整合烦琐而且容易出错。基于Python语言，利用ArcGIS平台的ArcPy站点包实现矢量数据的高效批处理，涉及数据库文件名批量删除前缀、图层文件名批量删除前缀、批量合并同名图层数据、标识码字段自动递增填充等一系列操作。该方法在第三轮矿产资源总体规划数据库建设中得到了应用，提升了工作效率和正确率。	https://kns.cnki.net/kcms2/article/abstract?v=3uoqIhG8C44YLTlOAiTRKibYlV5Vjs7ioT0BO4yQ4m_mOgeS2ml3UKolxNpl_HVjg2vwFxjlLqhh6BRlDroGFVnpv47LL3H5&uniplatform=NZKPT
10	基于Python编程的DLG元数据生产	张磊	山西省测绘地理信息院	2023-02-21	测绘与空间地理信息	期刊	Python; 基础测绘; DLG元数据; 元数据	基础测绘DLG元数据是基础测绘成果的重要组成部分，传统的生产方法费时费力，且生产过程中容易出错。本文结合工作中的实际情况，以DLG元数据生产为例，用Python语言编程生产Excel格式的DLG元数据，通过对元数据属性项的自动化生产，减少了人工填写的工作量，降低出错率。这种方式解决了DLG元数据的制作难点，简化了元数据生产流程，提高了工作效率和产品质量。	https://kns.cnki.net/kcms2/article/abstract?v=3uoqIhG8C44YLTlOAiTRKibYlV5Vjs7ioT0BO4yQ4m_mOgeS2ml3UKolxNpl_HVjcMV9FOLZo9qO2bQLjc0mm_oTV8c3ccs3&uniplatform=NZKPT
